tech,hs6,official_description,conflict_type,n_conflicting_rows,option_1_role,option_1_stage,option_2_role,option_2_stage,option_3_role,option_3_stage,informal_tags,in_prototype_10techs,DECISION_canonical_role,DECISION_canonical_stage,DECISION_notes
Batteries,842010,"Machines: calendering or other rolling machines, for other than metal or glass",stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Electrode Production; Calendering | Separator Production; Rolling,yes,,,
Batteries,847982,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring",stage,3,Process Equipment,Downstream,Process Equipment,Midstream,,,Active Materials Production; Dry & Wet Mixing | Electrode Production; Dry & Wet Mixing | Electrolyte Production; Dry & Wet Mixing,yes,,,
Batteries,850790,Electric accumulators: parts n.e.c. in heading no. 8507,stage,3,Product Component,Downstream,Product Component,Midstream,,,Current Collectors (Cu) | Parts of Accumulators | Separator,yes,,,
EVs,741410,NA,role,2,Processed Material,Midstream,Product Component,Midstream,,,PMSM; Copper Wire,no,,,
Electrolyzers,847982,"Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring",stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Active Materials Production; Industrial Blender | Diffusion Layer Production: Industrial Blender,yes,,,
Geothermal,400259,"Rubber: synthetic, acrylonitrile-butadiene rubber (NBR), (other than latex), in primary forms or in plates, sheets or strip",role,2,Processed Material,Midstream,Product Component,Midstream,,,Mud Hose; Nitrile Rubber | O-Rings; HNBR (Hydrogenated Nitrile Rubber),yes,,,
Geothermal,841710,"Furnaces and ovens: non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use",role+stage,3,Process Equipment,Downstream,Process Equipment,Midstream,Product Component,Midstream,Drill Pipe Manufacture; Furnace Heating | Furnace for Steel Pipe Making | Kellys; Furnace Heating,yes,,,
Geothermal,845521,Metal-rolling mills: hot or combination hot and cold rolling mills,stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Drill Pipe Manufacture; Hot Rolling | Kellys; Hot Rolling,yes,,,
Geothermal,845710,Machining centres: for working metal,stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Drill Pipes; CNC Machining | Steam Turbine Components Production; CNC Machining,yes,,,
Geothermal,845961,"Machine-tools: for milling by removing metal, (not knee-type), numerically controlled",stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Drill Pipes; CNC Milling | Steam Turbine Components Production; Milling,yes,,,
Geothermal,846021,NA,stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Drill Pipes; CNC Grinding | Steam Turbine Components Production; Grinding,yes,,,
Heat Pumps,841590,"Air conditioning machines: with motor driven fan and elements for temperature control, parts thereof",stage,2,Product Component,Downstream,Product Component,Midstream,,,Condenser Coil / Evaporator Coil | Evaporator,yes,,,
Magnets,850519,"Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, other than of metal",role+stage,2,Final Product,Final Product,Product Component,Downstream,,,Parts of Permanent Magnets | Permanent Magnet Components,yes,,,
Nuclear,840140,Nuclear reactors: parts thereof,role+stage,2,Final Product,Final Product,Product Component,Downstream,,,Nuclear Reactor Components | Parts of Nuclear Reactors,yes,,,
Solar,700510,"Glass: float glass and surface ground or polished glass, in sheets, non-wired, having an absorbent reflecting or non-reflecting layer",role+stage,2,Processed Material,Midstream,Product Component,Downstream,,,Module; Glass Sheet Casing (Float) | Solar Glass; Glass Sheet Casing (Float Absorbent),yes,,,
Solar,700719,"Glass: safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",role+stage,2,Processed Material,Midstream,Product Component,Downstream,,,Module; Glass Sheet Casing (Toughened) | Solar Glass; Glass Sheet Casing (Toughened),yes,,,
Solar,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,stage,18,Process Equipment,Downstream,Process Equipment,Midstream,,,"Cell Production; J-V Measurement and Cell Binning | Cell Production; Laser Opening | Cell Production; POCl3 Diffusion | Cell Production; PSG Removal, Near Side Planarization, and Edge Isolation by Single-side Etching | Cell Production; Rear-side Deposition of Silicon Oxide or Aluminum Oxide Layer (Furnance) | Cell Production; Saw Damage Removal and Surface Texturization | Cell Production; Screen-print | Cell Production; Test Wafer | Cell production; PECVD (Plasma-enhanced Chemical Vapor Deposition) | Module Production; Automated Cell Loading | Module Production; Automated Module Edge Trimming | Module Production; Contactless Infrared Soldering to Front and Back Silver on Cells | Module Production; Electroluminescence Inspection | Module Production; I-V Module Testing | Module Production; Module Lamination | Module Production; Stringing | Module Production; Webbing | Wafer Production; Wire Saw Cutting",yes,,,
Solar,854142,"Electrical apparatus: photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels",role+stage,2,Final Product,Final Product,Product Component,Downstream,,,Solar Cells | Solar Cells (Not Assembled into Modules),yes,,,
Wind,392590,"Plastics: builders' ware, n.e.c. or included in heading no. 3925",role,2,Processed Material,Midstream,Product Component,Midstream,,,"Bearings; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items | Tower; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items",yes,,,
Wind,842420,Spray guns and similar appliances,stage,2,Process Equipment,Downstream,Process Equipment,Midstream,,,Tower Production; Coating | Wind Capital Good; Spray Guns and Similar Appliances,yes,,,
